id,filename,application,type,company,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description,brand,audit,recommendation
162,THYME OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Thyme oil; Steam distillation of the thyme leaves.,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Clear liquid,"THYME OIL manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
163,Aniseed Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,The oil is obtained by steam distillation of the dried ripe,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Viscous yellow liquid.,"Aniseed Oil manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
164,Black Pepper Oil (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Piper nigrum L. (Family: Piperaceae).; Steam distillation the ripe pepper berries,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Greenish Yellow,"Black Pepper Oil manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
165,CARDAMOM OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Elettaria cardamomum Maton (Family: Zingiberaceae).; Steam distillation of the dried cardamom,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Liquid,"CARDAMOM OIL manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
166,CASSIA OIL (Essential Oils).pdf,Savory - Seasoning,Essential Oil,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: Cinnamon; Steam distillation of the cinnamon leaves .,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Pale yellow oily liquid,"CASSIA OIL manufactured for AWA Bio, used in flavors,cosmetics.",AWA Bio,,
167,Natural Mixed Tocopherols (Natural Anti-Oxidants).pdf,Savory - Seasoning,Natural Anti-Oxidant,AWA Bio,,Best before 24 months under the specified storage conditions,,,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,"Pale yellow to brownish red, Clear oily","Natural Mixed Tocopherols manufactured for AWA Bio, used in anti-oxidant.",AWA Bio,,
168,OLEORESIN THYME (Natural Anti-Oxidants).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: OLEORESIN THYME; is made by solvent extraction of the dried,"HDPE Jerry Cans,Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown pourable liquid .,"OLEORESIN THYME manufactured for AWA Bio, used in savory& processed food solutions, anti-oxidant.",AWA Bio,,
169,Oleoresin Basil (Natural Anti-Oxidants).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions.,,General Name: BASIL,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark greenish brown viscous liquied .,"Oleoresin Basil manufactured for AWA Bio, used in savory&processed food solutions,anti-oxidant.",AWA Bio,,
170,OLEORESIN OREGANUM (Natural Anti-Oxidants).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,Botanical Name: Origanum vulgar; Solvent extraction of the dried rhizomes,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brownish green pourable liquid.,"OLEORESIN OREGANUM manufactured for AWA Bio, used in savory&processed food solutions,anti-oxidant.",AWA Bio,,
171,Rosemary oleoresin (Natural Anti-Oxidants).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Rosemary; Rosemary extract is obtained by solvent extraction of dried,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Greenish brown coloured viscous liquid.,"Rosemary oleoresin manufactured for AWA Bio, used in savory& processed food solutions, anti-oxidant.",AWA Bio,,
172,Oleoresin spinach (Natural Anti-Oxidants).pdf,Savory - Seasoning,Oleoresin,AWA Bio,,Best before 24 months under the specified storage conditions,,"General Name: spinach; The product is natural, obtained from dried leaves of","HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Green liquid,"Oleoresin spinach manufactured for AWA Bio, used in natural color, anti-oxidant.",AWA Bio,,
173,Burger Spice Blend (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate  blending of specific ingredients .,"HDPE Jerry Cans,Bottels","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown oily liquid,"Burger Spice Blend manufactured for AWA Bio, used in processed meat...",AWA Bio,,
174,HOT DOG SPICE BLEND (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate  blending of specific ingredients .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown liquid,"HOT DOG SPICE BLEND manufactured for AWA Bio, used in processed meat.",AWA Bio,,
175,Ketchup Spice Blend (Liquid Spice Blends).pdf,Savory - Seasoning,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend; Proportionate blending of specific ingredients,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light brown liquid.,"Ketchup Spice Blend manufactured for AWA Bio, used in savory, sauces..",AWA Bio,,
176,Kofta Spice Blend (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate  blending of specific ingredients .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown oily liquid,"Kofta Spice Blend manufactured for AWA Bio, used in processed meat...",AWA Bio,,
177,Luncheon Spice Blend (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate blending of specific ingredients .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown oily liquid,"Luncheon Spice Blend manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
178,Oriental Sausage Spice Blend (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate  blending of specific ingredients .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown oily liquid,"Oriental Sausage Spice Blend manufactured for AWA Bio, used in processed meat..",AWA Bio,,
179,Pastrami Spice Blend (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate  blending of specific ingredients .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown liquid,"Pastrami Spice Blend manufactured for AWA Bio, used in processed meat..",AWA Bio,,
180,Pizza Spice Blend (Liquid Spice Blends).pdf,Savory - Seasoning; Bakery & snacks - Cake & Pastry,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend; Proportionate blending of specific ingredients,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light brown liquid.,"Pizza Spice Blend manufactured for AWA Bio, used in flavors, cosmetics.",AWA Bio,,
181,Roasted Beef Spice Blend (Liquid Spice Blends).pdf,Savory - Meat,Liquid Spice Blend,AWA Bio,,Best before 24 months under the specified storage conditions,,General Name: Spice blend liquid; Appropriate blending of specific ingredients .,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown liquid,"Roasted Beef Spice Blend manufactured for AWA Bio, used in processed meat..",AWA Bio,,
